UT C-Scan Data 
 Operator:   
 Date:  01/01/07 01:12:49 
 Job Name:  UTwin 
 Part Name:  Part 
 Comment:   
 Material Name:  Water 
 Longitudinal Velocity(mm/us):  0.059 
 A/D Delay(us):  13.000 
 A/D Width(us):  14.000 
 A/D Gain(dB):   14.0 
 A/D Offset(mV): 0.994 
 A/D Rate(MHz):  50.0 
 A/D Average:    3 
 A/D Trig Source: 0 
 A/D Filter Mode: Filter Off 
 A/D LP Filter(MHz):  15.0 
 A/D HP Filter(MHz):  2.0 
 A/D DAC: DAC ON 
 A/D AGC: AGC OFF 
 P/R Voltage(v):  150.0 
 P/R Damp(ohms):  -1.0 
 P/R Energy(pf):  -1.0 
 P/R frequency(MHz):  25.0 
 P/R Gain(dB):  33.0 
 P/R Filter Mode:  Off 
 P/R LP Filter(MHz):  -1.0 
 P/R HP Filter(MHz):  -1.0 
 Wave mode:  Longitudinal wave 
 Angle:  0.00 
 Center Frequency: 5.000 
 diameter: 12.700 
 Probe:   
_____________Réglages C-Scan __________________________ 
Unité de distance: mm 
Axe de balayage: 0 
Longueur de balayage: 12017.400 
Résolution de balayage: 0.150 
Axe d'index: 1 
Longueur d'index: 75.000 
Résolution d'index: 5.000 
____________Réglages des paramètres en sortie___________________ 
Données voie: 1 
Données porte: 2 
Paramètre en sortie:AMP(%)  
 ______Données en sortie (col: axe balay., ligne: axe incrém.)______,,,,,,,
X/Y,0,5,10,15,20,25,30,35
-12000,0,0,0,0,0,0,0,100
-11999.8496,0,0,0,0,0,100,0,100
-11999.7002,0,0,0,0,0,100,0,100
-11999.5498,0,0,0,0,0,100,0,100
-11999.4004,0,0,0,0,0,100,0,100
-11999.25,0,0,0,0,0,100,0,100
-11999.0996,0,99.8534,0,100,0,100,0,100
-11998.9502,0,100,0,100,0,100,0,100
-11998.7998,0,100,0,100,0,100,0,100
-11998.6504,0,99.8534,0,100,0,100,0,100
-11998.5,0,100,0,100,0,100,0,100
-11998.3496,0,100,0,100,0,100,0,100
-11998.2002,0,100,0,100,0,100,0,100
-11998.0498,0,100,0,100,0,100,0,100
-11997.9004,0,100,0,100,0,100,0,100
-11997.75,0,100,0,100,0,100,0,100
-11997.5996,0,100,0,100,0,100,0,100
-11997.4502,0,100,0,100,0,100,0,100
-11997.2998,0,100,0,100,0,100,0,100
-11997.1504,0,100,0,100,0,100,0,100
-11997,0,100,0,100,0,100,0,100
-11996.8496,0,100,0,100,0,100,0,100
-11996.7002,0,100,0,100,0,100,0,100
-11996.5498,0,100,0,100,0,100,0,100
-11996.4004,0,100,0,100,0,100,0,100
-11996.25,0,100,0,100,0,100,0,100
-11996.0996,0,100,0,100,0,100,0,100
-11995.9502,0,100,0,100,0,100,0,100
-11995.7998,0,100,0,100,0,100,0,100
-11995.6504,0,100,0,100,0,100,0,99.6092
-11995.5,0,100,0,100,0,100,0,98.4367
-11995.3496,0,100,0,100,0,100,0,100
-11995.2002,0,100,0,100,0,100,0,100
-11995.0498,0,100,0,100,0,100,0,100
-11994.9004,0,100,0,100,0,100,0,100
-11994.75,0,100,0,100,0,100,0,100
-11994.5996,0,100,0,100,0,100,0,97.8017
-11994.4502,0,100,0,100,0,100,0,97.6551
-11994.2998,0,100,0,100,0,100,0,100
-11994.1504,0,100,0,100,0,100,0,100
-11994,0,100,0,100,0,100,0,99.9023
-11993.8496,0,100,0,100,0,100,0,98.2413
-11993.7002,0,100,0,100,0,100,0,100
-11993.5498,0,100,0,100,0,100,0,100
-11993.4004,0,100,0,100,0,100,0,100
-11993.25,0,100,0,100,0,100,0,100
-11993.0996,0,100,0,100,0,100,0,100
-11992.9502,0,100,0,100,0,100,0,100
-11992.7998,0,100,0,100,0,100,0,100
-11992.6504,0,100,0,100,0,100,0,100
-11992.5,0,100,0,100,0,100,0,100
-11992.3496,0,100,0,100,0,100,0,100
-11992.2002,0,100,0,100,0,100,0,100
-11992.0498,0,100,0,100,0,100,0,100
-11991.9004,0,100,0,100,0,100,0,100
-11991.75,0,100,0,100,0,100,0,100
-11991.5996,0,100,0,100,0,100,0,100
-11991.4502,0,100,0,100,0,100,0,100
-11991.2998,0,100,0,100,0,100,0,100
-11991.1504,0,100,0,100,0,100,0,100
-11991,0,100,0,100,0,100,0,100
-11990.8496,0,100,0,100,0,100,0,100
-11990.7002,0,100,0,100,0,100,0,100
-11990.5498,0,100,0,100,0,100,0,100
-11990.4004,0,100,0,100,0,100,0,100
-11990.25,0,100,0,100,0,100,0,100
-11990.0996,0,100,0,100,0,100,0,100
-11989.9502,0,100,0,100,0,100,0,100
-11989.7998,0,100,0,100,0,100,0,100
-11989.6504,0,100,0,100,0,100,0,100
-11989.5,0,100,0,100,0,100,0,100
-11989.3496,0,100,0,100,0,100,0,99.9023
-11989.2002,0,100,0,100,0,100,0,98.6321
-11989.0498,0,100,0,100,0,100,0,98.0459
-11988.9004,0,100,0,100,0,100,0,96.6292
-11988.75,0,100,0,100,0,100,0,94.382
-11988.5996,0,100,0,100,0,100,0,89.3014
-11988.4502,0,100,0,100,0,100,0,85.7841
-11988.2998,0,100,0,100,0,100,0,76.1602
-11988.1504,0,100,0,100,0,100,0,75.4763
-11988,0,100,0,100,0,100,0,75.5252
-11987.8496,0,100,0,100,0,100,0,74.255
-11987.7002,0,100,0,100,0,100,0,72.8872
-11987.5498,0,100,0,100,0,100,0,69.1744
-11987.4004,0,100,0,100,0,100,0,67.318
-11987.25,0,100,0,100,0,100,0,63.8007
-11987.0996,0,100,0,100,0,100,0,61.9932
-11986.9502,0,100,0,100,0,100,0,60.5765
-11986.7998,0,100,0,100,0,100,0,54.8608
-11986.6504,0,100,0,100,0,100,0,55.5936
-11986.5,0,100,0,100,0,100,0,57.4011
-11986.3496,0,100,0,100,0,100,0,55.9844
-11986.2002,0,100,0,100,0,99.8046,0,58.0361
-11986.0498,0,97.1666,0,100,0,94.4309,0,57.6453
-11985.9004,0,99.7557,0,100,0,100,0,56.3263
-11985.75,0,97.362,0,100,0,100,0,56.8637
-11985.5996,0,89.1549,0,100,0,100,0,57.1568
-11985.4502,0,85.4421,0,100,0,100,0,59.8925
-11985.2998,0,87.6893,0,100,0,100,0,59.746
-11985.1504,0,83.1461,0,100,0,100,0,61.8466
-11985,0,81.4362,0,100,0,100,0,63.4099
-11984.8496,0,78.7494,0,100,0,100,0,65.5594
-11984.7002,0,79.1891,0,100,0,100,0,66.0479
-11984.5498,0,79.7264,0,100,0,100,0,66.5364
-11984.4004,0,80.0684,0,100,0,100,0,67.7088
-11984.25,0,78.8959,0,100,0,100,0,67.4157
-11984.0996,0,76.7953,0,100,0,100,0,62.6282
-11983.9502,0,76.2579,0,100,0,100,0,59.4529
-11983.7998,0,73.5222,0,100,100,100,0,59.6483
-11983.6504,0,69.4187,0,100,100,100,100,53.786
-11983.5,0,73.5222,70.64,100,100,91.6463,100,52.0274
-11983.3496,0,74.0596,71.3727,100,100,80.8012,100,50.1221
-11983.2002,0,74.0596,67.8065,100,100,68.6859,100,45.53
-11983.0498,0,77.1373,68.0508,99.4626,100,59.6483,100,44.2599
-11982.9004,0,87.9824,64.3381,93.7958,100,58.427,100,46.4582
-11982.75,0,86.1749,64.1426,87.9824,100,60.1856,100,48.1681
-11982.5996,100,99.7557,61.1627,88.3244,100,62.8725,99.5115,46.5071
-11982.4502,100,100,59.9902,83.6834,100,68.637,98.7787,46.4094
-11982.2998,100,100,60.4299,83.3415,100,70.1514,100,47.7284
-11982.1504,100,100,59.8437,80.3615,100,70.4934,97.4108,48.852
-11982,100,100,65.3151,82.5598,100,74.4016,95.1637,53.5906
-11981.8496,100,100,69.2721,82.9507,100,76.5022,94.5286,53.7372
-11981.7002,100,100,70.9819,86.2726,100,74.7924,91.8417,55.4958
-11981.5498,100,100,70.6888,88.764,100,75.1343,90.3273,59.1109
-11981.4004,100,100,75.0366,87.445,100,75.3298,87.8359,61.8466
-11981.25,100,100,78.5051,88.8129,100,76.2579,87.787,65.2174
-11981.0996,100,100,76.6976,90.8158,100,73.9619,87.9336,64.3869
-11980.9502,100,100,88.1778,93.8447,100,76.4533,86.3214,64.8754
-11980.7998,100,100,98.0948,93.2584,100,79.531,87.445,64.7777
-11980.6504,100,100,100,94.2843,100,83.3415,89.8876,61.5046
-11980.5,100,100,100,98.339,100,84.4651,91.9883,61.8466
-11980.3496,100,100,100,94.8217,100,83.8788,90.3273,57.8407
-11980.2002,100,100,100,97.6551,100,84.7093,96.043,58.0361
-11980.0498,100,100,100,94.2355,100,84.9536,95.3591,51.3923
-11979.9004,100,100,100,93.6981,100,86.5169,95.8964,48.2169
-11979.75,100,100,100,93.3073,100,86.4191,96.8735,48.9497
-11979.5996,100,100,100,86.1749,100,85.491,94.4797,42.1593
-11979.4502,100,100,100,86.1749,100,90.6693,92.6722,41.3776
-11979.2998,100,100,99.7557,84.7093,100,89.6922,95.0171,39.8632
-11979.1504,100,100,100,80.3615,100,95.3102,93.8935,39.5213
-11979,100,100,92.3302,82.9995,100,99.2672,96.8246,35.9062
-11978.8496,100,100,90.9135,84.6116,100,99.0718,95.7987,35.7108
-11978.7002,100,100,93.063,89.9853,100,99.6092,88.0801,39.7655
-11978.5498,100,100,99.6092,98.3879,100,98.9253,89.106,37.8603
-11978.4004,100,98.7299,96.0918,100,100,99.8534,87.5916,38.2022
-11978.25,100,98.0459,100,100,100,99.2184,79.6287,39.6678
-11978.0996,100,93.4538,100,100,100,94.1866,79.9707,41.8661
-11977.9502,100,89.0083,100,100,100,92.4768,75.9648,43.0874
-11977.7998,100,84.8559,100,100,99.658,91.744,72.3498,42.257
-11977.6504,100,81.6317,100,100,95.1637,91.0112,73.4245,44.8461
-11977.5,100,87.6893,100,100,94.2843,88.7152,71.8613,46.4094
-11977.3496,100,90.4739,100,100,93.6981,88.1778,72.0567,45.3835
-11977.2002,100,94.1866,100,100,87.2496,86.0772,71.4216,49.9756
-11977.0498,100,89.9365,100,100,84.2697,82.6575,71.7147,50.2687
-11976.9004,100,95.7499,100,100,83.1461,81.2408,69.9072,51.0015
-11976.75,95.4079,95.7987,100,100,87.2496,80.1172,70.7865,50.8549
-11976.5996,90.6693,94.2843,100,100,80.9477,75.3298,71.7147,50.9038
-11976.4502,87.787,99.9023,100,100,83.83,72.9849,70.298,52.0762
-11976.2998,84.3674,100,100,100,78.554,70.0537,72.8383,52.0762
-11976.1504,78.8471,100,100,100,73.4734,63.703,74.2062,51.2946
-11976,79.873,100,100,100,76.2091,60.2833,73.7176,50.6595
-11975.8496,77.2838,100,100,100,65.364,54.3722,78.554,49.9756
-11975.7002,74.4993,100,100,100,69.6141,48.1192,80.4104,45.6766
-11975.5498,80.7035,100,100,100,61.9443,47.0933,80.215,46.0186
-11975.4004,81.0943,100,100,100,60.5276,45.0904,81.7294,49.8779
-11975.25,84.4651,100,100,100,61.8955,45.6766,86.3703,47.2399
-11975.0996,85.491,100,100,100,57.4499,48.0703,89.3014,44.8461
-11974.9502,90.0831,100,100,100,57.5476,53.0044,88.4709,41.6707
-11974.7998,94.0401,100,100,100,58.9155,57.2545,89.4968,45.4812
-11974.6504,99.8046,100,100,100,61.3581,65.0708,92.7699,47.8749
-11974.5,100,100,100,100,64.8754,70.9331,91.7929,46.7513
-11974.3496,100,100,100,100,67.8065,72.594,94.8705,47.7284
-11974.2002,100,100,100,100,68.3439,72.9849,88.2267,47.6307
-11974.0498,100,100,100,100,71.8124,78.2609,90.6204,45.6766
-11973.9004,100,100,100,100,75.1343,83.0484,88.0313,44.8461
-11973.75,100,100,100,100,76.5999,86.7123,83.488,45.2858
-11973.5996,100,100,100,100,77.2838,87.1519,80.85,45.2369
-11973.4502,100,100,100,100,79.9218,90.5227,79.3845,45.872
-11973.2998,100,100,100,100,87.0542,96.5804,79.1891,46.8002
-11973.1504,100,100,100,100,84.9536,97.0689,76.0137,50.5618
-11973,100,100,100,100,89.106,99.9023,73.2291,51.9785
-11972.8496,100,100,100,100,87.787,98.8276,72.3498,58.085
-11972.7002,100,100,99.9511,100,87.2008,99.7069,71.0796,63.0191
